City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Margate,GB,51.3813,1.3862,55.31,77,96,1.01,overcast clouds
282,Alexandria,EG,31.2156,29.9553,73.53,71,100,3.76,overcast clouds
283,Egvekinot,RU,66.3167,-179.1667,-0.63,94,95,1.97,overcast clouds
284,Klyuchi,RU,52.2667,79.1667,39.15,45,100,13.47,overcast clouds
285,Zarubino,RU,42.63,131.0922,47.77,82,100,5.66,overcast clouds
286,Sensuntepeque,SV,13.8667,-88.6333,82.38,84,29,0.89,scattered clouds
287,Serov,RU,59.6033,60.5787,22.28,80,89,5.66,overcast clouds
288,Ternate,ID,0.8,127.4,80.91,80,100,7.11,overcast clouds
289,Marystown,CA,47.1666,-55.1483,44.85,100,70,8.99,broken clouds
290,Orgtrud,RU,56.1832,40.6149,43.47,95,53,10.67,broken clouds
291,Quesnel,CA,52.9999,-122.5029,43.3,42,40,8.05,scattered clouds
292,Anadyr,RU,64.75,177.4833,-1.7,78,40,6.71,light snow
293,Lethem,GY,3.3803,-59.7968,89.65,58,20,13.8,few clouds
294,Faanui,PF,-16.4833,-151.75,78.75,70,100,15.05,overcast clouds
295,Iaciara,BR,-14.0958,-46.6317,79.86,49,73,2.84,broken clouds
296,Sembe,CG,1.6481,14.5806,70.07,99,89,0.65,overcast clouds
297,Freeport,US,40.6576,-73.5832,57.22,69,90,10.0,overcast clouds
298,Sungairaya,ID,0.7,108.9,77.86,87,99,6.6,light rain
299,Santiago,CL,-33.4569,-70.6483,85.44,24,0,12.66,clear sky
300,Florida,US,28.7505,-82.5001,76.08,67,90,4.0,overcast clouds
301,Kahului,US,20.8947,-156.47,85.96,69,40,17.27,scattered clouds
302,Bequimao,BR,-2.4489,-44.7825,82.72,92,95,3.15,overcast clouds
303,Sept-Iles,CA,50.2001,-66.3821,43.32,65,20,3.44,few clouds
304,Morondava,MG,-20.2833,44.2833,74.25,68,80,2.91,broken clouds
305,Waddan,LY,29.1614,16.139,67.6,38,0,4.79,clear sky
306,Campbell River,CA,50.0163,-125.2446,51.33,47,20,3.0,few clouds
307,Matara,LK,5.9485,80.5353,76.26,90,77,2.44,broken clouds
308,Barra Do Garcas,BR,-15.89,-52.2567,74.57,82,75,6.64,moderate rain
309,Atliaca,MX,17.65,-99.3667,74.75,70,43,1.68,scattered clouds
310,Aitape,PG,-3.1374,142.3475,81.46,79,99,3.29,overcast clouds
311,Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,scattered clouds
312,Fort Nelson,CA,58.8053,-122.7002,38.79,52,20,5.75,few clouds
313,Meulaboh,ID,4.1363,96.1285,75.38,87,100,4.09,overcast clouds
314,Talakan,RU,50.3167,130.3667,35.92,88,100,8.3,overcast clouds
315,Chengde,CN,40.9725,117.9361,45.25,84,5,2.04,clear sky
316,Tutoia,BR,-2.7619,-42.2744,79.92,79,99,7.83,overcast clouds
317,Huancayo,PE,-12.0667,-75.2333,58.86,58,96,6.55,overcast clouds
318,Sidi Ali,DZ,36.0998,0.4206,64.74,64,80,4.61,broken clouds
319,Mocuba,MZ,-16.8392,36.9856,65.77,83,18,1.1,few clouds
320,Mananjary,MG,-21.2167,48.3333,68.32,75,100,5.86,light rain
321,Galesong,ID,-5.3166,119.3661,77.02,80,98,4.38,overcast clouds
